CFA,Q1,AGE13,PHD,CA9C,CA10C,CA11,CA12,SALPRSFIN,DIPL0,DIPL1,DIPL2a,DIPL2b,DIPL2c,DIPL3,DIPL4,DIPL5a,DIPL5b,DIPL6a,DIPL6b,DIPL6c,DIPL7
2,1,24,13M,6,1,6,1,3700,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,23,07T,5,5,2,2,1625,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,22,08,4,4,6,5,2335,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,22,04T,2,2,1,1,1105,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,22,09L,4,4,5,5,1354,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,09M,6,6,1,1,1280,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,09M,2,2,2,4,1823.796875,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,10M,2,4,1,4,1806,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,22,06I,7,9,2,2,1596.1875,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,24,13L,6,6,1,1,4368,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,22,09L,4,2,6,1,1277,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,09M,2,2,7,6,1500,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,20,09M,5,1,4,4,1550,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,06I,1,1,1,1,1408,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,21,09M,2,6,3,2,1600,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,06T,3,2,5,3,1172,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,20,09M,1,3,2,2,1741.6953125,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,09M,4,9,6,3,1500,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,20,04T,3,2,7,2,1733,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,20,06T,1,2,2,4,679,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,31,18L,1,2,1,2,2300,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,30,18L,4,9,4,1,2219,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,29,18M,2,9,1,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,29,18M,5,4,6,5,2074,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,29,17,4,4,6,5,2480,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,30,18L,4,4,6,5,2023,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,30,18M,5,9,4,1,1595,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,29,18M,5,5,2,1,1923.296875,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,28,18M,4,4,5,5,2500,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,27,18L,4,4,2,5,2200,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,28,18M,4,4,6,5,2200,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,27,18M,8,4,,5,2023,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,27,18M,4,4,2,3,1650,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,27,18M,1,2,3,3,2175,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,27,18L,7,7,4,4,1902.6992188,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,26,18M,5,9,1,1,2942,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,27,18M,4,4,6,6,2000,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,30,18M,3,9,3,3,2600,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,26,18M,5,3,1,1,3233,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,27,13L,4,4,7,7,1600,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,29,18M,3,2,1,5,2050,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,26,13M,4,4,6,6,2290,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,27,18M,4,4,4,4,2849,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,25,10L,2,2,1,1,1796,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,25,09M,7,1,1,1,1283,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,25,13M,1,2,7,7,1635,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,25,13M,4,4,6,5,1200,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,25,13L,3,2,2,2,1953.296875,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,25,08,4,9,6,6,1858,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,25,13M,2,2,2,2,1142,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,25,13L,1,9,1,1,1300,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,25,08,5,5,2,2,1500,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,30,18M,4,4,6,6,2000,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,30,18M,4,4,6,6,2958,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,29,18M,3,3,4,5,2958,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,34,13L,4,4,6,5,1420,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,23,09M,1,1,1,3,1320,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,29,18M,4,4,6,6,2221,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,23,13M,7,9,7,1,1700,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,23,09M,1,2,1,1,1517,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,23,13L,2,2,1,1,1880,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,23,16,3,2,4,4,2192,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,07T,2,2,1,1,1194,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,23,16,4,2,3,3,2400,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,25,10L,7,7,2,5,1424,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,23,13M,3,2,4,4,3000,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,22,09M,4,2,4,4,1542.09375,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,09M,4,7,7,7,1408,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,06I,3,3,7,7,1679,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,22,09M,3,2,3,4,2167,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,09M,3,2,4,4,1310,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,06I,1,3,2,1,1298,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,22,10L,4,3,6,4,1890,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,21,09M,3,2,2,1,1600,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,09M,6,2,2,4,1600,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,21,10L,4,2,1,4,894,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,21,09L,1,9,1,1,1866,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,21,09L,1,1,2,2,1118,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,10M,4,2,3,2,1237,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,21,09L,4,9,3,3,1400,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,09M,3,2,2,2,1280,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,09L,1,2,2,1,1760,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,21,09L,6,6,1,3,1580,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,20,03I,1,2,2,3,1011,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,20,04T,7,3,7,5,1150,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,19,05,5,1,3,2,1147,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,24,13M,7,2,5,3,1647,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,29,18M,4,9,4,1,2350,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,28,18M,2,9,1,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,35,14L,3,9,3,1,1800,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,31,18M,4,2,4,7,1660,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,30,18L,4,4,4,6,1950,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,29,17,4,9,7,7,3000,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,29,18L,2,4,3,3,2100,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,28,18M,4,4,3,5,2241.6953125,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,27,18M,2,2,1,2,1600,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,27,18M,5,5,5,5,3388,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,27,05,1,7,2,3,1424,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,26,13M,4,4,5,5,2058,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,25,18M,7,2,2,2,2135,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,26,13M,2,2,1,3,1675,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,26,18M,5,4,2,6,2500,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,25,13L,4,4,5,5,2400,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,25,13L,1,2,2,3,1870,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,25,12L,1,4,4,5,903,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,25,13L,4,4,5,3,1300,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,29,18M,2,9,3,3,3967,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,28,18M,4,4,6,5,2300,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,24,16,7,7,7,7,2960,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,27,18M,4,4,5,5,3102,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,33,18L,2,2,5,5,2749.6953125,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,29,13L,4,9,6,3,2709,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,35,18L,4,4,6,6,3750,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,33,13L,4,4,6,3,1850,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,30,18M,5,4,6,4,1950,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,29,18M,3,4,1,5,1850,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,30,18M,4,9,6,3,2030,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,30,18M,4,9,6,5,1200,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,26,03T,4,2,6,1,1891.6992188,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,24,14L,7,2,7,4,2092,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,24,13M,4,1,6,4,2225,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,24,13L,2,2,2,2,2217,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,28,18M,2,2,3,1,1985,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,24,13M,6,6,2,4,1450,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,24,16,5,2,2,2,2383,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,24,13L,5,9,5,3,2700,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,23,13L,1,2,2,2,2315,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,23,13L,2,2,2,2,1500,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,23,13L,2,2,1,2,1883.296875,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,23,16,4,2,6,5,1781,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,13L,4,2,6,4,1680,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,23,13M,1,3,2,5,1850,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,23,16,3,3,1,4,2167,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,24,13M,4,2,3,3,1972,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,23,04T,4,2,7,3,1198,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,23,13L,4,4,5,6,1770,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,23,16,8,2,,3,2550,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,23,13M,5,4,1,5,1400,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,23,09M,4,4,4,4,1453,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,23,09M,4,5,6,2,1415,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,22,13L,1,4,2,5,1506,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,22,10L,1,3,1,4,1660,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,22,08,2,2,4,4,2100,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,22,09L,4,5,4,3,904,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,22,10L,5,4,1,6,1142,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1,22,09M,4,4,2,2,1767,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,22,06T,4,1,1,1,1549,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,32,06T,3,2,1,1,1714,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,22,09M,1,2,2,2,1400,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,21,09M,4,2,2,2,1700,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,21,04T,1,9,1,1,1989,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,21,09M,2,2,2,4,2817,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,25,18M,4,9,3,3,2708,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,26,13M,4,2,6,3,2150,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,29,18M,2,2,1,2,2825,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,29,13M,5,5,1,1,1643,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,27,18M,8,9,,1,2100,0,0,0,0,0,0,0,0,0,0,0,0,1
